Name	trailheadapp__API_Name__c	trailheadapp__Created_At__c	trailheadapp__Description__c	trailheadapp__External_Id__c	trailheadapp__Icon__c	trailheadapp__Level__c	trailheadapp__Namespace__c	trailheadapp__Products__c	trailheadapp__Roles__c	trailheadapp__Tags__c	trailheadapp__Type__c	trailheadapp__URL__c
Sales at Pacifica	getting5-demobooth4	2019-03-30T00:00:00.000Z	Learn opportunity and pipeline basics.	m-9289	/resource/demoboothdemogetting5demobooth4	Intermediate	demobooth-demo	General	Business User	CRM	Module	https://demobooth-demo.my.trailhead.com/content/demobooth-demo/modules/getting5-demobooth4/
Salesforce Technology Model	salesforce_advantange_how_we_do_it	2019-01-15T00:00:00.000Z	Get a peek under the hood of our core technology model based on trust and innovation.	m-7061	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce_advantange_how_we_do_it/72ab4e2ec3fe0eb86a12ab6709e938df_badge.png	Beginner	learn	General	Business User	General	Module	https://developer.salesforce.com/trailhead/module/salesforce_advantange_how_we_do_it/
Marketing Automation Strategies	marketing-automation-strategies	2019-05-25T00:00:00.000Z	Learn to scale your marketing efforts using first-party data, templates, and automations.	m-12546	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/marketing-automation-strategies/cdd9feaf80bfd059c52e1477b9c28a76_badge.png	Beginner	learn	Marketing Cloud	Business User, Admin	General	Module	https://developer.salesforce.com/trailhead/module/marketing-automation-strategies/
Salesforce CRM Customization and Extension	salesforce-crm-customization-and-extension	2019-01-15T00:00:00.000Z	Make your Salesforce CRM even better with these powerful features.	m-7063	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/salesforce-crm-customization-and-extension/c51e1d658b6e1bc88963410161567adf_badge.png	Beginner	learn	Salesforce Platform	Business User	CRM	Module	https://developer.salesforce.com/trailhead/module/salesforce-crm-customization-and-extension/
Swift Essentials	swift-essentials	2019-01-15T00:00:00.000Z	Learn the basics of the Swift programming language.	m-7064	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/swift-essentials/c53d9178311c1d403c9531ba8a249ae9_badge.png	Beginner	learn	General	Developer	General	Module	https://developer.salesforce.com/trailhead/module/swift-essentials/
Pardot Engagement Studio for Salesforce Classic	pardot-engagement-studio	2019-05-25T00:00:00.000Z	Build responsive, highly personalized customer journeys using Engagement Studio in Pardot.	m-12563	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/pardot-engagement-studio/abab9947d7da12e780e43cf61c442da5_badge.png	Beginner	learn	Sales Cloud, Pardot	Business User	General	Module	https://developer.salesforce.com/trailhead/module/pardot-engagement-studio/
Marketing Content Creation	marketing-content-creation	2019-05-25T00:00:00.000Z	Learn the value of successful content and how our tools can help you create it.	m-12548	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/marketing-content-creation/6ea59b89dd7ebeea1e6a5561f401859f_badge.png	Beginner	learn	Marketing Cloud	Business User	General	Module	https://developer.salesforce.com/trailhead/module/marketing-content-creation/
Quip Features	quip-features	2019-01-15T00:00:00.000Z	Learn how to create, share, and discuss Quip documents with your team.	m-7068	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/quip-features/55e7fa15796523cf1ba9a18f68cf0ed1_badge.png	Beginner	learn	Quip	Business User	General	Module	https://developer.salesforce.com/trailhead/module/quip-features/
Customer Journey Basics	customer-journey-basics	2019-05-25T00:00:00.000Z	Connect your data, departments, and channels to deliver great 1-to-1 customer experiences.	m-12492	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/customer-journey-basics/09bf7ae2561ab9a9e93e03438cf4e70f_badge.png	Beginner	learn	Marketing Cloud	Business User	General	Module	https://developer.salesforce.com/trailhead/module/customer-journey-basics/
Digital Advertising Transformed with Customer Data	digital-advertising-with-customer-data	2019-05-25T00:00:00.000Z	Build a successful digital advertising strategy with an audience-based approach.	m-12496	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/digital-advertising-with-customer-data/d09d3dfda68d7687268a7fcc9434cb01_badge.png	Beginner	learn	Marketing Cloud	Business User	General	Module	https://developer.salesforce.com/trailhead/module/digital-advertising-with-customer-data/
Pardot Lead Nurturing for Salesforce Classic	pardot-lead-nurturing	2019-05-25T00:00:00.000Z	Learn about lead nurturing and build a content strategy for engagement programs.	m-12564	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/pardot-lead-nurturing/6187225b3b7640197036f21bf8f74c7b_badge.png	Beginner	learn	Sales Cloud, Pardot	Business User	General	Module	https://developer.salesforce.com/trailhead/module/pardot-lead-nurturing/
Datasets and Dashboards in B2B Marketing Analytics	datasets-and-dashboards-in-b2b-marketing-analytics	2019-01-15T00:00:00.000Z	Use datasets, lenses, and dashboards to organize and analyze your marketing data.	m-7074	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/datasets-and-dashboards-in-b2b-marketing-analytics/359fa915a8cddba13fd813d5b6866f3d_badge.png	Beginner	learn	Sales Cloud, Pardot	Business User	CRM	Module	https://developer.salesforce.com/trailhead/module/datasets-and-dashboards-in-b2b-marketing-analytics/
Email Marketing Strategies	mr-email-marketing-strategies	2019-05-25T00:00:00.000Z	Discover best practices to use when designing and sending an email.	m-12554	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/mr-email-marketing-strategies/02132ace98b122a5fa443cbbd6a95c35_badge.png	Beginner	learn	General, Marketing Cloud	Business User	General	Module	https://developer.salesforce.com/trailhead/module/mr-email-marketing-strategies/
Salesforce Ohana Culture	manage_the_sfdc_way_ohana	2019-02-26T00:00:00.000Z	Learn the business value of culture and how we bring our culture to life at Salesforce.	m-8192	https://res.cloudinary.com/hy4kyit2a/f_auto,fl_lossy,q_70/learn/modules/manage_the_sfdc_way_ohana/91d9cfca7437687be0079d527e2cc5c0_badge.png	Beginner	learn	General	Business User, Admin, Developer	General	Module	https://developer.salesforce.com/trailhead/module/manage_the_sfdc_way_ohana/
