Data_Source__c,Emission_Factor_Update_Year__c,GWP_KGCO2EKG__C,NAME,REFRIGERANT_NAME__C,RecordType
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,10300,PFPMIE - 2018 revision,PFPMIE,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1774,R-407C - 2018 revision,R-407C,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,2088,R-410A - 2018 revision,R-410A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,2729,R-422D - 2018 revision,R-422D,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1,R1234yf - 2018 revision,R1234yf,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1,R1234ze - 2018 revision,R1234ze,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1430,R134a - 2018 revision,R134a,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3,R290 (propane) - 2018 revision,R290 (propane),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3124,R403A - 2018 revision,R403A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3922,R404A - 2018 revision,R404A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1943,R406A - 2018 revision,R406A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,2107,R407A - 2018 revision,R407A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1825,R407F - 2018 revision,R407F,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3152,R408A - 2018 revision,R408A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,1585,R409A - 2018 revision,R409A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,4657,R502 - 2018 revision,R502,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3985,R507A - 2018 revision,R507A,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,13396,R508B - 2018 revision,R508B,Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,3,R600A (isobutane) - 2018 revision,R600A (isobutane),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,22800,Sulphur hexafluoride (SF6) - 2018 revision,Sulphur hexafluoride (SF6),Refrigerants
https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2018,2018,17700,Trifluoromethyl sulphur pentafluoride - 2018 revision,Trifluoromethyl sulphur pentafluoride,Refrigerants
